Freq.	V(vout)
1.11686324778056e-07	(-2.16973679974492e-13dB,-1.27858504605916e-05°)
1.11943788346715e-07	(-2.16973679974492e-13dB,-1.28153248899317e-05°)
1.12201845430196e-07	(-2.18902334907599e-13dB,-1.28448672648486e-05°)
1.12460497396692e-07	(-2.18902334907599e-13dB,-1.28744777419731e-05°)
1.12719745617551e-07	(-2.20830989840706e-13dB,-1.29041564782970e-05°)
1.12979591467279e-07	(-2.21795317307259e-13dB,-1.29339036311739e-05°)
1.13240036323555e-07	(-2.22759644773812e-13dB,-1.29637193583204e-05°)
1.13501081567231e-07	(-2.23723972240365e-13dB,-1.29936038178164e-05°)
1.13762728582343e-07	(-2.25652627173472e-13dB,-1.30235571681064e-05°)
1.14024978756117e-07	(-2.24688299706919e-13dB,-1.30535795680000e-05°)
1.14287833478977e-07	(-2.26616954640025e-13dB,-1.30836711766730e-05°)
1.14551294144553e-07	(-2.26616954640025e-13dB,-1.31138321536682e-05°)
1.14815362149688e-07	(-2.29509937039685e-13dB,-1.31440626588960e-05°)
1.15080038894443e-07	(-2.29509937039685e-13dB,-1.31743628526356e-05°)
1.15345325782109e-07	(-2.31438591972792e-13dB,-1.32047328955356e-05°)
1.15611224219209e-07	(-2.31438591972792e-13dB,-1.32351729486149e-05°)
1.15877735615512e-07	(-2.32402919439345e-13dB,-1.32656831732636e-05°)
1.16144861384034e-07	(-2.35295901839005e-13dB,-1.32962637312440e-05°)
1.16412602941049e-07	(-2.35295901839005e-13dB,-1.33269147846910e-05°)
1.16680961706096e-07	(-2.35295901839005e-13dB,-1.33576364961136e-05°)
1.16949939101987e-07	(-2.36260229305559e-13dB,-1.33884290283952e-05°)
1.17219536554813e-07	(-2.39153211705219e-13dB,-1.34192925447947e-05°)
1.17489755493953e-07	(-2.39153211705219e-13dB,-1.34502272089474e-05°)
1.17760597352080e-07	(-2.41081866638325e-13dB,-1.34812331848659e-05°)
1.18032063565173e-07	(-2.41081866638325e-13dB,-1.35123106369407e-05°)
1.18304155572516e-07	(-2.43974849037985e-13dB,-1.35434597299414e-05°)
1.18576874816716e-07	(-2.43010521571432e-13dB,-1.35746806290173e-05°)
1.18850222743701e-07	(-2.44939176504538e-13dB,-1.36059734996987e-05°)
1.19124200802737e-07	(-2.44939176504538e-13dB,-1.36373385078971e-05°)
1.19398810446427e-07	(-2.47832158904198e-13dB,-1.36687758199067e-05°)
1.19674053130724e-07	(-2.49760813837305e-13dB,-1.37002856024050e-05°)
1.19949930314937e-07	(-2.49760813837305e-13dB,-1.37318680224538e-05°)
1.20226443461741e-07	(-2.51689468770412e-13dB,-1.37635232474998e-05°)
1.20503594037179e-07	(-2.51689468770412e-13dB,-1.37952514453760e-05°)
1.20781383510677e-07	(-2.53618123703518e-13dB,-1.38270527843021e-05°)
1.21059813355048e-07	(-2.53618123703518e-13dB,-1.38589274328856e-05°)
1.21338885046497e-07	(-2.56511106103178e-13dB,-1.38908755601227e-05°)
1.21618600064636e-07	(-2.57475433569731e-13dB,-1.39228973353993e-05°)
1.21898959892486e-07	(-2.57475433569731e-13dB,-1.39549929284915e-05°)
1.22179966016487e-07	(-2.59404088502838e-13dB,-1.39871625095671e-05°)
1.22461619926504e-07	(-2.60368415969391e-13dB,-1.40194062491859e-05°)
1.22743923115840e-07	(-2.61332743435945e-13dB,-1.40517243183011e-05°)
1.23026877081238e-07	(-2.63261398369051e-13dB,-1.40841168882598e-05°)
1.23310483322890e-07	(-2.63261398369051e-13dB,-1.41165841308042e-05°)
1.23594743344450e-07	(-2.66154380768711e-13dB,-1.41491262180724e-05°)
1.23879658653036e-07	(-2.66154380768711e-13dB,-1.41817433225993e-05°)
1.24165230759240e-07	(-2.67118708235265e-13dB,-1.42144356173176e-05°)
1.24451461177138e-07	(-2.68083035701818e-13dB,-1.42472032755584e-05°)
1.24738351424294e-07	(-2.70011690634925e-13dB,-1.42800464710528e-05°)
1.25025903021771e-07	(-2.70976018101478e-13dB,-1.43129653779321e-05°)
1.25314117494141e-07	(-2.71940345568031e-13dB,-1.43459601707290e-05°)
1.25602996369487e-07	(-2.74833327967691e-13dB,-1.43790310243785e-05°)
1.25892541179416e-07	(-2.73869000501138e-13dB,-1.44121781142192e-05°)
1.26182753459066e-07	(-2.75797655434245e-13dB,-1.44454016159936e-05°)
1.26473634747114e-07	(-2.77726310367351e-13dB,-1.44787017058494e-05°)
1.26765186585784e-07	(-2.79654965300458e-13dB,-1.45120785603402e-05°)
1.27057410520853e-07	(-2.79654965300458e-13dB,-1.45455323564270e-05°)
1.27350308101665e-07	(-2.81583620233564e-13dB,-1.45790632714783e-05°)
1.27643880881134e-07	(-2.82547947700118e-13dB,-1.46126714832719e-05°)
1.27938130415752e-07	(-2.84476602633224e-13dB,-1.46463571699949e-05°)
1.28233058265601e-07	(-2.86405257566331e-13dB,-1.46801205102457e-05°)
1.28528665994361e-07	(-2.85440930099778e-13dB,-1.47139616830341e-05°)
1.28824955169313e-07	(-2.88333912499438e-13dB,-1.47478808677826e-05°)
1.29121927361353e-07	(-2.89298239965991e-13dB,-1.47818782443273e-05°)
1.29419584144998e-07	(-2.90262567432544e-13dB,-1.48159539929190e-05°)
1.29717927098395e-07	(-2.93155549832204e-13dB,-1.48501082942239e-05°)
1.30016957803328e-07	(-2.92191222365651e-13dB,-1.48843413293247e-05°)
1.30316677845229e-07	(-2.94119877298758e-13dB,-1.49186532797215e-05°)
1.30617088813183e-07	(-2.97012859698418e-13dB,-1.49530443273329e-05°)
1.30918192299940e-07	(-2.97977187164971e-13dB,-1.49875146544968e-05°)
1.31219989901919e-07	(-2.98941514631524e-13dB,-1.50220644439714e-05°)
1.31522483219223e-07	(-3.00870169564631e-13dB,-1.50566938789363e-05°)
1.31825673855640e-07	(-3.02798824497737e-13dB,-1.50914031429933e-05°)
